St. Louis, Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1938-2022
Missing: -99
Date,Value,Anomaly
196101,30.9,-0.4
196102,38.6,3.0
196103,47.7,2.0
196104,52.6,-4.7
196105,62.3,-4.7
196106,74.2,-2.2
196107,79.5,-0.8
196108,78.0,-0.6
196109,72.8,1.9
196110,61.0,1.5
196111,45.9,-0.2
196112,33.7,-1.9
196201,26.5,-4.8
196202,38.4,2.8
196203,41.4,-4.3
196204,54.8,-2.5
196205,73.8,6.8
196206,75.8,-0.6
196207,77.6,-2.7
196208,77.4,-1.2
196209,68.2,-2.7
196210,62.7,3.2
196211,46.7,0.6
196212,33.0,-2.6
196301,23.1,-8.2
196302,30.3,-5.3
196303,50.6,4.9
196304,60.0,2.7
196305,65.6,-1.4
196306,77.2,0.8
196307,79.1,-1.2
196308,76.7,-1.9
196309,70.3,-0.6
196310,68.7,9.2
196311,47.5,1.4
196312,24.0,-11.6
196401,36.5,5.2
196402,36.0,0.4
196403,44.1,-1.6
196404,60.5,3.2
196405,71.4,4.4
196406,76.6,0.2
196407,80.2,-0.1
196408,78.3,-0.3
196409,71.1,0.2
196410,55.8,-3.7
196411,49.1,3.0
196412,33.4,-2.2
196501,33.4,2.1
196502,35.2,-0.4
196503,35.9,-9.8
196504,59.8,2.5
196505,72.0,5.0
196506,76.5,0.1
196507,78.2,-2.1
196508,77.2,-1.4
196509,70.5,-0.4
196510,57.9,-1.6
196511,50.0,3.9
196512,43.1,7.5
196601,26.4,-4.9
196602,33.6,-2.0
196603,48.1,2.4
196604,53.2,-4.1
196605,63.1,-3.9
196606,75.1,-1.3
196607,84.4,4.1
196608,75.7,-2.9
196609,67.1,-3.8
196610,55.7,-3.8
196611,48.5,2.4
196612,36.2,0.6
196701,36.2,4.9
196702,32.7,-2.9
196703,49.7,4.0
196704,59.9,2.6
196705,62.2,-4.8
196706,75.4,-1.0
196707,76.3,-4.0
196708,73.8,-4.8
196709,67.9,-3.0
196710,58.9,-0.6
196711,43.4,-2.7
196712,36.3,0.7
196801,30.1,-1.2
196802,30.7,-4.9
196803,47.6,1.9
196804,57.0,-0.3
196805,63.4,-3.6
196806,78.4,2.0
196807,79.1,-1.2
196808,78.9,0.3
196809,69.5,-1.4
196810,58.4,-1.1
196811,44.9,-1.2
196812,33.7,-1.9
196901,30.2,-1.1
196902,36.3,0.7
196903,38.9,-6.8
196904,57.9,0.6
196905,66.7,-0.3
196906,73.5,-2.9
196907,81.5,1.2
196908,78.0,-0.6
196909,70.3,-0.6
196910,57.1,-2.4
196911,44.4,-1.7
196912,33.1,-2.5
197001,25.8,-5.5
197002,34.0,-1.6
197003,41.6,-4.1
197004,59.1,1.8
197005,70.3,3.3
197006,73.4,-3.0
197007,79.0,-1.3
197008,77.3,-1.3
197009,73.1,2.2
197010,57.4,-2.1
197011,44.9,-1.2
197012,38.3,2.7
197101,28.7,-2.6
197102,35.2,-0.4
197103,43.0,-2.7
197104,57.2,-0.1
197105,63.6,-3.4
197106,80.2,3.8
197107,76.7,-3.6
197108,77.0,-1.6
197109,73.8,2.9
197110,65.0,5.5
197111,47.3,1.2
197112,41.9,6.3
197201,31.2,-0.1
197202,35.6,0.0
197203,46.3,0.6
